,Bahan
48,"['kerang hijau', 'saus sambal', 'kaldu udang', 'bubuk', 'telur', 'kecap asin', 'mie', 'jahe', 'gochugaru', 'kecap ikan', 'hijau', 'udang', 'bawang putih', 'cabai', 'kaldu bubuk', 'sawi']"
49,"['cooking', 'pasta', 'tepung terigu', 'vanilla', 'telur', 'kacang', 'tim', 'kuning telur', 'tepung maizena', 'chocolate', 'dark', 'margarin', 'susu full cream']"
50,"['saus tiram', 'daun salam', 'jeruk nipis', 'bacem', 'ayam', 'putih', 'bawang putih', 'bawang merah', 'serai', 'aren', 'lengkuas', 'ketumbar']"
51,"['cabai rawit merah', 'lada bubuk', 'tepung terigu', 'kaldu jamur bubuk', 'cilok', 'cabai rawit hijau', 'bawang putih bubuk', 'tepung tapioka', 'bawang putih', 'bawang merah', 'kaldu sapi']"
52,"['vanilla', 'kuning telur', 'whipping cream', 'ekstrak']"
53,"['meses', 'tepung terigu', 'ragi', 'telur', 'susu bubuk', 'margarin']"
54,"['jamur kuping', 'bihun', 'dada ayam', 'merica bubuk', 'seledri', 'bawang putih', 'bawang bombay', 'wortel']"
55,"['keju cheddar', 'smoked beef', 'ayam', 'bawang', 'telur', 'mie', 'bawang putih', 'margarin']"
56,"['ketumbar bubuk', 'lada', 'ayam', 'beras basmati', 'kismis', 'bubuk', 'kayu manis', 'bunga lawang', 'cengkeh', 'kunyit', 'hitam', 'jintan', 'bawang bombay', 'serai', 'kapulaga']"
57,"['ayam', 'saus sambal', 'daun jeruk', 'kayu manis', 'jahe', 'bunga lawang', 'cengkeh', 'tomat', 'daun bawang', 'serai', 'saus tomat']"
58,"['kaldu bubuk', 'tepung tapioka', 'kacang tanah', 'baking powder']"
59,"['cabai rawit merah', 'kaldu jamur', 'saus tiram', 'dada ayam', 'daun salam', 'cabai merah', 'jahe', 'kecap manis']"
60,"['terasi', 'kaldu jamur', 'bubuk', 'lengkuas', 'cabai merah', 'bawang putih', 'bawang bombay', 'buncis', 'tempe']"
61,"['daun pandan', 'merah', 'tape ketan hitam']"
62,"['sate', 'kecap asin', 'putih telur', 'kecap ikan', 'daun bawang', 'tepung tapioka', 'kaldu bubuk', 'bawang bombay', 'bawang putih', 'ikan tenggiri']"
63,"['kluwek', 'daun jeruk', 'lengkuas', 'daun bawang', 'kunyit', 'ayam', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
64,"['saus tiram', 'saus sambal', 'keriting', 'kol', 'telur', 'dada ayam', 'mie', 'merica bubuk', 'kecap manis', 'daun bawang', 'bawang putih', 'bawang merah', 'sawi']"
65,"['terasi', 'cabai merah keriting', 'jeruk limau', 'cabai rawit', 'bawang merah']"
66,"['petai', 'daun jeruk', 'baby cumi', 'cabai rawit', 'bawang putih', 'bawang merah', 'serai']"
67,"['cabai rawit merah', 'tomat', 'cabai rawit hijau']"
68,"['pisang uli', 'cooking', 'tepung terigu', 'warna', 'kulit lumpia', 'manis', 'chocolate', 'cokelat', 'dark']"
69,"['tepung terigu', 'kuning', 'warna', 'kapur sirih', 'ubi merah', 'tepung beras']"
70,"['jeruk nipis', 'ikan nila', 'kunyit', 'timun', 'tomat', 'bawang putih', 'sambal terasi']"
71,"['tepung sagu', 'asam jawa', 'ebi', 'cabai rawit', 'kecap manis', 'bawang putih', 'ikan tenggiri', 'merah']"
72,"['serai', 'daun jeruk', 'beras', 'santan']"
73,"['cabai rawit merah', 'muda', 'cabai merah keriting', 'daun jeruk', 'jeruk nipis', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'bebek']"
74,"['cabai hijau', 'daun jeruk', 'lengkuas', 'santan', 'cabai rawit', 'cabai merah', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'pari', 'ikan pe', 'ikan']"
75,"['kencur', 'tepung tapioka', 'tepung tapioka', 'bawang putih']"
76,"['tepung ketan', 'kelapa', 'daun pandan', 'daun pisang', 'merah']"
77,"['tepung terigu', 'merica', 'jamur kuping', 'telur', 'pala bubuk', 'ayam', 'bawang putih', 'kaldu bubuk', 'tepung terigu', 'giling']"
78,"['tepung terigu', 'kacang tanah', 'kulit pangsit']"
79,"['tepung ketan', 'ragi instant', 'kacang tanah', 'tepung terigu', 'palm sugar', 'bubuk', 'kayu manis']"
80,"['daun jeruk', 'jeruk nipis', 'ikan nila', 'daun pisang', 'cabai merah', 'kemiri', 'kunyit', 'cabai rawit', 'tomat', 'bawang putih', 'bawang merah', 'ketumbar']"
81,"['muda', 'ragi instant', 'tepung terigu', 'biang', 'warna', 'merah', 'margarin', 'baking powder']"
82,"['jus', 'tepung tapioka', 'santan', 'pandan', 'tepung tapioka', 'merah', 'tepung beras']"
83,"['keju cheddar', 'tepung maizena', 'sayur', 'tepung terigu', 'susu bubuk', 'telur', 'emulsifier', 'susu']"
84,"['pasta', 'tepung terigu', 'susu kental manis', 'vanilla', 'telur', 'tepung maizena', 'margarin']"
85,"['telur', 'lengkuas', 'daun salam', 'serai', 'santan', 'tahu kuning', 'kaldu bubuk', 'bawang merah', 'kulit', 'bawang putih', 'kental']"
