,Bahan
179,"['bunga cengkeh', 'kayu', 'kering', 'pala', 'secang', 'daun jeruk', 'serai', 'daun pandan', 'kayu manis', 'ceengkeh', 'daun', 'daun pala', 'cengkeh', 'bunga lawang', 'batu', 'kapulaga']"
180,"['daun kunyit', 'labu siam', 'daun jeruk', 'lengkuas', 'daun salam', 'santan', 'kemiri', 'bawang putih', 'jinten', 'wortel', 'buncis', 'ketumbar']"
181,"['daun jeruk', 'telur', 'merica bubuk', 'jahe', 'timun', 'ikan bandeng', 'tomat', 'bawang putih', 'bawang merah', 'kentang', 'sambal terasi']"
182,"['kelapa', 'kelapa muda', 'susu kental manis', 'buah cherry', 'daun pandan', 'santan', 'tepung maizena', 'batu', 'kental']"
183,"['vanilla', 'lemon', 'sirup', 'semangka']"
184,"['kering', 'lobak', 'putih', 'merah', 'beef', 'lada', 'telur', 'tahu jepang', 'jamur enoki', 'hitam', 'gochugaru', 'cabai bubuk', 'rumput laut', 'kecap asin', 'daun bawang', 'akar', 'daging sapi', 'kaldu', 'kuning', 'konbu', 'bawang putih']"
185,"['jamur shitake', 'lada', 'risotto', 'kering', 'sayur', 'kaldu ayam', 'mentega', 'parsley', 'thyme', 'beras', 'hitam', 'bawang putih', 'bawang bombay', 'tawar', 'keju parmesan', 'zaitun']"
186,"['cabai rawit merah', 'jeruk nipis', 'merica bubuk', 'daun', 'jahe', 'kunyit', 'daun bawang', 'tomat', 'ikan gabus', 'kaldu bubuk', 'bawang merah', 'serai', 'daun kemangi']"
187,"['smoked beef', 'lemon', 'telur', 'kuning', 'merica bubuk', 'unsalted butter', 'cuka', 'english muffin', 'roti']"
188,"['susu kental manis', 'vanilla', 'essence', 'batu', 'ubi ungu', 'susu']"
189,"['cincau', 'kopi', 'saset', 'hitam', 'batu', 'cappucino']"
190,"['salad', 'wijen', 'alpukat', 'rumput laut', 'lobak', 'kecap asin', 'edamame', 'jahe', 'beras', 'jepang', 'cuka', 'nasi putih', 'timun', 'merah', 'shoyu', 'salmon']"
191,"['plain', 'daun pandan', 'jahe', 'kedelai', 'serai', 'merah']"
192,"['kiwi', 'whipping cream', 'roti tawar']"
193,"['daun kemangi', 'tauge', 'kelapa', 'daun jeruk', 'lengkuas', 'daun salam', 'oncom', 'santan', 'merica bubuk', 'kaldu ayam bubuk', 'bawang merah', 'serai']"
194,"['batu', 'daun mint', 'jeruk nipis', 'soda']"
195,"['kacang hijau', 'kacang tanah', 'roti tawar', 'susu kental manis', 'daun pandan', 'kolang kaling', 'kayu manis', 'pacar', 'jahe', 'cengkeh', 'cina', 'sagu mutiara']"
196,"['madu', 'jeruk', 'lemon', 'teh', 'hitam', 'lokal', 'batu']"
197,"['cabai rawit merah', 'lada', 'cabai merah keriting', 'ayam kampung', 'andaliman', 'jeruk nipis', 'jahe', 'bawang putih', 'bawang merah', 'lengkuas']"
198,"['lada bubuk', 'lada', 'iga sapi', 'sandung lamur', 'bubuk', 'kayu manis', 'jahe', 'bunga lawang', 'kecap ikan', 'hitam', 'bawang putih', 'bawang bombay', 'kwetiau', 'rebusan']"
199,"['cabai rawit merah', 'cabai merah keriting', 'serai', 'ikan patin', 'daun jeruk', 'daun salam', 'jeruk nipis', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah']"
200,"['kaldu ayam bubuk', 'bawang merah']"
201,"['lada', 'susu kental manis', 'mayones', 'bubuk', 'mustard', 'kol merah', 'cuka', 'hitam', 'wortel', 'chia seed', 'kol putih']"
202,"['baking powder', 'pasta', 'tepung terigu', 'vanilla', 'butter', 'bubuk', 'kacang', 'palem', 'kuning telur', 'susu full cream']"
203,"['mentega', 'lada', 'kaldu jamur', 'tepung maizena', 'hela', 'bubuk', 'telur', 'kecap manis', 'kecap inggris', 'ceplok', 'daun bawang', 'hitam', 'bawang putih', 'nasi putih', 'mayonaise', 'saus tomat', 'kaldu sapi', 'bawang bombay']"
204,"['lada bubuk', 'kaldu jamur', 'jeruk', 'lemon', 'alpukat', 'tortilla', 'bokor', 'dada ayam', 'bubuk', 'paprika', 'biji', 'tomat', 'cabai', 'jintan', 'bawang bombay', 'selada', 'saus tomat', 'saus']"
205,"['pasta', 'vanilla', 'butter', 'telur', 'cornflake', 'tepung', 'serbaguna', 'baking powder']"
206,"['oatmeal', 'tepung maizena', 'tepung terigu', 'merica bubuk', 'bawang putih bubuk', 'paha ayam', 'bawang putih', 'kaldu bubuk', 'tepung', 'baking powder']"
207,"['caisim', 'daun jeruk', 'lengkuas', 'daun salam', 'kecap asin', 'mie', 'kecap manis', 'jahe', 'daun bawang', 'hijau', 'paha ayam', 'putih', 'serai', 'merah']"
208,"['bawang merah', 'petai', 'lengkuas', 'daun salam', 'nasi putih', 'kaldu bubuk', 'serai', 'bawang putih', 'sambal terasi']"
209,"['ketumbar bubuk', 'ikan tuna', 'jeruk limau', 'jeruk nipis', 'merica bubuk', 'kecap manis', 'kunyit', 'kemiri', 'timun', 'bawang putih', 'bawang merah']"
210,"['sirsak', 'susu kental manis', 'batu']"
211,"['susu kental manis', 'batu', 'jambu biji merah']"
212,"['saus tiram', 'bawang', 'telur', 'nasi shirataki', 'kecap manis', 'daun bawang', 'cabai merah', 'paha ayam', 'kaldu bubuk']"
213,"['kaldu', 'telur', 'tulang ayam', 'mie', 'kecap manis', 'cabai merah', 'cabai rawit', 'bawang putih', 'bawang merah', 'saus tomat']"
214,"['cincau', 'susu kental manis', 'jelly', 'bubuk', 'teh', 'batu', 'susu']"
215,"['sirup', 'wafer', 'cream', 'whippng', 'cokelat', 'krim', 'susu']"
216,"['emping', 'bubuk kari', 'acar', 'kol', 'bubuk', 'telur', 'kecap asin', 'kecap manis', 'cabai merah', 'daun bawang', 'kemiri', 'tomat', 'udang', 'jintan', 'bawang merah', 'mie kuning', 'bawang putih', 'timun']"
217,"['saus tiram', 'kaldu', 'telur', 'kecap asin', 'mie', 'cabai merah', 'cabai rawit', 'daun bawang', 'kecap manis', 'seledri', 'bawang putih', 'ikan tongkol', 'saus tomat', 'telur ikan']"
218,"['spaghetti', 'pala', 'daun jeruk', 'santan', 'cabai merah', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'daging sapi', 'ketumbar', 'kental']"
219,"['lemon', 'putih telur', 'warna', 'sprinkles', 'warni']"
220,"['strawberry', 'lemon', 'putih', 'timun']"
221,"['saus tiram', 'lidah sapi', 'cabai hijau', 'kecap manis', 'bawang merah', 'bawang bombay']"
222,"['saus tiram', 'saus sambal', 'daun jeruk', 'kerang', 'cabai merah', 'jahe', 'cabai rawit', 'bawang putih', 'bawang merah', 'kerang dara']"
223,"['kerang hijau', 'daging sapi', 'daun jeruk', 'lengkuas', 'cabai merah', 'cabai rawit', 'tomat', 'bawang putih', 'bawang merah']"
224,"['tepung ketan', 'merah', 'kelapa', 'hitam']"
225,"['brown sugar', 'ekstrak', 'butter', 'kacang', 'vanila', 'kuning telur', 'cokelat', 'whipping cream', 'susu']"
226,"['tepung maizena', 'sosis', 'kaldu ayam', 'dada ayam', 'saus tomat', 'pala bubuk', 'merica bubuk', 'tomat', 'bawang putih', 'bawang bombay', 'wortel', 'margarin']"
227,"['madu', 'lada', 'bubuk', 'buah cherry', 'mayonnaise', 'jeruk nipis', 'kol merah', 'tomat', 'timun', 'bawang putih', 'hitam', 'selada', 'olive']"
228,"['alpukat', 'susu kental manis', 'susu kental manis', 'putih', 'batu', 'cokelat']"
229,"['keju cheddar', 'soto', 'sosis', 'bubuk', 'telur', 'parsley', 'mie', 'bawang putih', 'susu full cream']"
230,"['quaker oat', 'wijen', 'bawang', 'dada ayam', 'telur', 'kecap asin', 'kerupuk udang', 'merica bubuk', 'kaldu ayam bubuk', 'daun bawang', 'bawang putih', 'kacang kedelai']"
231,"['biji selasih', 'pasta', 'alpukat', 'nata de coco', 'kaleng', 'pandan', 'batu', 'susu evaporasi']"
232,"['cokelat', 'cooking', 'biskuit susu', 'pisang', 'dark', 'margarin', 'whipping cream']"
233,"['spray', 'ragi instant', 'tepung terigu']"
234,"['lada bubuk', 'sayur', 'ebi', 'bengkuang', 'cabai rawit', 'tepung tapioka', 'cuka', 'bawang putih', 'kaldu bubuk', 'wortel', 'tepung beras']"
235,"['cabai rawit merah', 'nasi', 'cabai merah keriting', 'daun jeruk', 'dada ayam', 'daun salam', 'kunyit', 'kemiri', 'bawang putih', 'bawang merah', 'kencur']"
236,"['madu', 'lada bubuk', 'tepung maizena', 'wijen', 'saus tiram', 'saus sambal', 'jahe', 'ayam', 'bawang putih', 'bawang bombay', 'saus tomat']"
237,"['tepung terigu', 'telur', 'merica bubuk', 'cabai merah', 'kuning telur', 'daun kari', 'ayam', 'tepung tapioka', 'bawang putih', 'asin', 'serbaguna', 'susu']"
238,"['cream cheese', 'susu kental manis', 'teh', 'whipping cream', 'susu full cream']"
239,"['cakalang', 'mie', 'merica bubuk', 'cabai merah', 'cabai rawit', 'hijau', 'cuka', 'bawang putih', 'kaldu bubuk', 'sawi', 'telur ikan']"
240,"['lada bubuk', 'tauge', 'brown sugar', 'kering', 'saus tiram', 'sayur', 'asam jawa', 'mie', 'kecap manis', 'daun bawang', 'beras', 'kecap ikan', 'udang', 'bawang putih', 'rice noodles', 'kaldu bubuk']"
241,"['kabocha', 'asi', 'ayam', 'giling', 'susu']"
242,"['kembang tahu', 'wijen', 'saus tiram', 'telur', 'kecap asin', 'merica bubuk', 'daun bawang', 'ayam', 'udang', 'tepung tapioka', 'bawang putih', 'kulit', 'kaldu bubuk']"
243,"['kaldu jamur', 'telur', 'kecap asin', 'shitake', 'edamame', 'fishcake', 'udang', 'wortel']"
244,['pisang mas']
245,"['wijen', 'saus tiram', 'telur', 'tulang ayam', 'mie', 'merica bubuk', 'kecap manis', 'daun bawang', 'ayam', 'bawang putih', 'tepung maizena']"
246,"['mentega', 'alpukat', 'susu kental manis', 'batu', 'cokelat']"
247,"['lada bubuk', 'kecap asin', 'paprika merah', 'kecap manis', 'jahe', 'daun bawang', 'putih', 'ayam', 'bawang putih']"
248,"['muda', 'nangka', 'daun salam', 'santan', 'cabai merah', 'jahe', 'kunyit', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
249,"['ayam', 'daun jeruk purut', 'santan', 'cabai merah', 'jahe', 'kemiri', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'ketumbar', 'kental']"
250,"['mentega', 'tepung maizena', 'tepung terigu', 'baking soda', 'telur', 'marshmallow', 'palem', 'choco chips', 'coklat bubuk', 'margarin']"
251,"['keju cheddar', 'smoked beef', 'tepung terigu', 'elbow', 'parsley', 'merica bubuk', 'keju mozarella', 'macaroni', 'susu', 'margarin']"
252,"['asam jawa', 'cabai merah', 'cabai rawit', 'bawang putih', 'singkong', 'merah']"
253,"['tepung maizena', 'jamur kuping', 'sirloin', 'kecap asin', 'putih telur', 'jahe', 'timun', 'nanas', 'bawang bombay', 'wortel', 'daging sapi']"
254,"['lada bubuk', 'belut', 'jeruk nipis', 'kunyit', 'bawang putih', 'kaldu bubuk', 'ketumbar']"
255,"['lada', 'pasta', 'wijen', 'kaldu ayam', 'zucchini', 'bubuk', 'chunjang', 'mie', 'kedelai', 'timun', 'ayam', 'hitam', 'bawang bombay', 'tepung maizena', 'kentang']"
256,"['nasi', 'bubuk kari', 'saus tiram', 'kismis', 'biji', 'kacang mede', 'kecap ikan', 'daun bawang', 'nanas', 'udang', 'tomat', 'bawang bombay']"
257,"['terasi', 'cabai merah', 'cabai rawit', 'nanas', 'bawang putih', 'merah']"
258,"['cabai hijau', 'jeruk limau', 'cabai merah', 'cabai rawit', 'bawang merah']"
259,"['saus tiram', 'petai', 'cabai hijau', 'daun jeruk', 'lengkuas', 'kecap manis', 'cabai rawit', 'cabai merah', 'bawang putih', 'bawang merah', 'cumi']"
260,"['wijen', 'saus tiram', 'kecap asin', 'masak', 'merica bubuk', 'daun bawang', 'ayam', 'tepung tapioka', 'bawang putih', 'cuka']"
261,"['telur ayam', 'wijen', 'saus tiram', 'kecap asin', 'merica bubuk', 'kecap manis', 'ayam', 'sawi', 'kwetiau']"
262,"['mentega', 'tepung terigu', 'susu kental manis', 'susu bubuk', 'kayu manis', 'kuning telur', 'cengkeh', 'nanas', 'tepung maizena', 'margarin']"
263,"['nasi', 'lada bubuk', 'wijen', 'telur', 'bawang putih']"
264,"['telur', 'kecap asin', 'kecap manis', 'daun bawang', 'bawang putih', 'nasi putih']"
265,"['sayur', 'daun jeruk', 'daun pisang', 'cabai merah', 'cabai rawit', 'ikan cakalang', 'putih', 'nasi putih', 'bawang merah', 'serai', 'bawang putih']"
266,"['daging sapi', 'kaldu', 'bayam', 'beras', 'kacang polong']"
267,"['bubuk kari', 'tepung terigu', 'acar', 'telur', 'mie', 'cabai rawit', 'daun bawang', 'timun']"
268,"['chicken katsu', 'daun selada', 'acar', 'timun', 'tomat', 'kacang polong', 'wortel', 'bawang merah', 'indomie']"
269,"['cumi', 'spaghetti', 'pasta', 'lada', 'parsley', 'tomat', 'udang', 'bawang putih', 'bawang bombay', 'hitam', 'olive']"
270,"['popcorn', 'jagung', 'margarin']"
271,"['nasi', 'wijen', 'ayam', 'bawang', 'kerupuk udang', 'merica bubuk', 'kecap manis', 'daun bawang', 'kemiri', 'hijau', 'bawang putih', 'bawang merah', 'sawi']"
272,"['sosis', 'kering', 'saus tiram', 'telur', 'shirataki', 'kecap asin', 'mie', 'merica bubuk', 'cabai merah', 'kecap manis', 'bawang putih', 'olive']"
273,"['cabai bubuk', 'kaldu ayam', 'telur', 'kecap asin', 'mie', 'merica bubuk', 'ramen', 'daun bawang', 'daging sapi']"
274,"['wijen', 'teriyaki', 'kecap manis', 'tempe', 'daun bawang', 'bawang putih', 'bawang bombay', 'saus']"
275,"['ragi instant', 'tepung terigu', 'susu bubuk', 'kuning telur', 'tepung panir', 'tepung terigu', 'margarin']"
276,"['saus tiram', 'telur', 'cabai rawit', 'kecap manis', 'kecap ikan', 'daun', 'ayam', 'basil', 'bawang putih', 'bawang merah']"
277,"['mayonaise', 'wijen', 'saus sambal', 'bubuk', 'kecap asin', 'tobiko', 'putih', 'nasi putih', 'nori', 'ikan salmon', 'saus tomat']"
278,"['madu', 'mentega', 'sayur', 'tepung ketan putih', 'tepung terigu', 'tepung', 'telur', 'ubi cilembu', 'tepung tapioka', 'corn syrup', 'ubi ungu', 'susu']"
279,"['ragi instant', 'tepung terigu', 'kering', 'parsley', 'jamur kancing', 'keju mozarella', 'tomat', 'paprika', 'oregano', 'saus tomat', 'bawang bombay']"
280,"['tepung maizena', 'saus sambal', 'seledri', 'mayonaise', 'kentang']"
281,"['lemon', 'bubuk', 'strawberry', 'gelatin', 'whipping cream', 'susu']"
282,"['ayam', 'kayu manis', 'merica bubuk', 'pala bubuk', 'jahe', 'kecap manis', 'cabai merah', 'tomat', 'kunyit', 'bawang putih', 'bawang merah']"
283,"['tepung terigu', 'kering', 'telur', 'dada ayam', 'parsley', 'merica bubuk', 'bawang putih bubuk', 'keju mozarella', 'serbaguna']"
284,"['tepung maizena', 'pasta', 'kacang tanah', 'vanilla', 'telur']"
285,"['saus tiram', 'kecap asin', 'merica bubuk', 'kecap manis', 'beras', 'brokoli', 'udang', 'bawang putih', 'wortel']"
286,"['tepung terigu', 'saus tiram', 'telur', 'crab stick', 'kecap asin', 'kecap manis', 'daun bawang', 'kecap inggris', 'kaldu bubuk', 'saus tomat']"
287,"['jamur kuping', 'kaldu ayam', 'telur', 'kecap', 'mie', 'cabai rawit', 'jahe', 'daun bawang', 'ramen', 'ayam', 'tomat', 'bawang putih', 'jepang', 'kecap manis']"
288,"['daun jeruk', 'daun salam', 'cabai merah', 'cabai rawit', 'bakso sapi', 'bawang putih', 'bawang merah']"
289,"['saus tiram', 'saus sambal', 'bawang', 'merica bubuk', 'kecap manis', 'bakso ayam', 'bawang putih', 'sate', 'merah', 'saus tomat']"
290,"['sosis', 'tepung terigu', 'kering', 'keriting', 'saus sambal', 'mayonnaise', 'mie', 'merica bubuk', 'sate', 'tepung', 'serbaguna']"
291,"['keju cheddar', 'margarin', 'pisang kepok']"
292,"['sate', 'tepung sagu', 'lada', 'saus tiram', 'bakso', 'tani', 'bawang bombay', 'putih telur', 'bawang putih', 'bawang merah', 'batu', 'lemak', 'daging sapi']"
293,"['ayam', 'bakso', 'daun jeruk', 'lengkuas', 'jeruk nipis', 'cabai rawit', 'jamur kancing', 'jahe', 'kecap ikan', 'bawang putih', 'bawang merah', 'serai', 'ikan']"
294,"['cabai rawit', 'kemiri', 'bawang putih']"
295,"['ragi instant', 'tepung terigu']"
296,"['ragi instant', 'tepung terigu', 'spaghetti', 'paprika', 'jagung', 'bawang bombay', 'jamur kancing', 'keju mozarella', 'sosis ayam', 'manis', 'saus']"
297,"['kurma', 'madu', 'susu']"
298,"['kecambah', 'rempeyek', 'kangkung', 'daun jeruk', 'asam jawa', 'kacang', 'cabai rawit', 'bawang putih', 'merah', 'kencur']"
299,"['lada', 'tepung terigu', 'parsley', 'pala bubuk', 'daun', 'jamur kancing', 'hitam', 'kaldu bubuk', 'bawang bombay', 'margarin', 'serbaguna', 'susu']"
300,"['saus sambal', 'telur', 'merica bubuk', 'tepung tapioka', 'kaldu bubuk', 'sate', 'mayonaise']"
301,"['telur', 'kecap asin', 'merica bubuk', 'ayam', 'udang', 'kaldu bubuk', 'baking powder']"
302,"['ayam', 'saus sambal', 'daun jeruk', 'cabai merah', 'cabai rawit', 'kecap manis', 'daun bawang', 'bawang putih', 'bawang merah']"
303,"['susu kental manis', 'stroberi', 'whipping cream']"
304,"['tepung terigu', 'susu bubuk', 'kuning telur', 'cokelat', 'tepung terigu', 'whipping cream', 'susu', 'margarin']"
305,"['cheese', 'madu', 'ragi instant', 'tepung terigu', 'butter cream', 'susu kental manis', 'telur', 'unsalted butter', 'bawang putih', 'whipping cream', 'susu']"
306,"['plain', 'biru', 'jelly', 'bubuk', 'kuning', 'warna', 'hijau', 'merah']"
307,"['sirup', 'biru', 'jus', 'stroberi', 'soda', 'nanas']"
308,"['plain', 'daging sapi', 'alpukat', 'jelly', 'bubuk', 'susu']"
309,"['kecap manis', 'cabai rawit', 'cabai merah', 'pindang', 'tomat', 'bawang putih', 'bawang merah', 'saus tomat', 'salem']"
310,"['nasi', 'petai', 'daun jeruk', 'lengkuas', 'daun salam', 'masak', 'daun pandan', 'cabai rawit', 'cabai merah', 'kaldu ayam bubuk', 'beras', 'bawang putih', 'bawang merah', 'teri nasi', 'didih']"
311,"['kaldu jamur', 'ayam', 'kecap manis', 'bawang putih', 'bawang bombay', 'merica']"
312,"['tauge', 'kaldu jamur', 'wijen', 'telur', 'daun bawang', 'bawang merah', 'merica']"
313,"['lada bubuk', 'mentega', 'tepung terigu', 'saus tiram', 'ragi', 'bubuk', 'jahe', 'bawang putih', 'bawang merah', 'margarin', 'daging sapi']"
314,"['lada bubuk', 'mentega', 'kaldu jamur', 'tepung terigu', 'ragi', 'paprika merah', 'jeruk nipis', 'udang', 'bawang putih', 'bawang bombay', 'kulit', 'cumi']"
315,"['mozarella', 'sosis sapi', 'ragi instant', 'tepung terigu', 'saus sambal', 'mayonnaise', 'bawang bombay', 'bolognese', 'saus']"
316,"['telur', 'vanilla', 'mentega', 'pasta']"
317,"['mozarella', 'sosis sapi', 'ragi instant', 'tepung terigu', 'saus sambal', 'mayonaise', 'bolognese', 'saus']"
318,"['ragi instant', 'tepung terigu', 'spaghetti', 'mayonnaise', 'jagung', 'kaleng', 'tuna', 'bawang bombay', 'keju mozarella', 'paprika', 'manis', 'saus']"
319,"['tepung maizena', 'keju', 'roti tawar', 'daun pandan', 'susu']"
320,"['daun selada', 'tepung terigu', 'saus sambal', 'roti tawar', 'mayonnaise', 'dada ayam', 'telur', 'merica bubuk', 'tomat', 'kaldu bubuk', 'margarin']"
321,"['pasta', 'miso', 'dashi', 'tofu']"
322,"['pasta', 'vanilla', 'santan', 'kuning telur', 'kental']"
323,"['baking soda', 'kol', 'bubuk', 'telur', 'mayonnaise', 'okonomiyaki', 'daun bawang', 'udang', 'wortel', 'katsuobushi', 'cumi', 'dashi', 'saus']"
324,"['tepung terigu', 'tahu putih', 'bubuk', 'kaldu bubuk', 'bawang putih', 'tepung beras']"
325,"['ketumbar bubuk', 'daun jeruk', 'tempe', 'kemiri', 'bawang putih', 'tepung beras']"
326,"['lada bubuk', 'wijen', 'ayam', 'kecap asin', 'jeruk nipis', 'kecap manis', 'jahe', 'bawang putih']"
327,"['bubuk', 'whipping cream', 'milo', 'batu', 'susu uht']"
328,"['batu', 'kopi', 'hitam', 'brown sugar']"
329,"['daun salam', 'jahe', 'daun bawang', 'beras', 'kunyit', 'bawang putih', 'bawang merah', 'serai', 'ketumbar']"
330,"['ketumbar bubuk', 'lada bubuk', 'tepung terigu', 'oncom', 'kaldu ayam bubuk', 'bawang putih', 'bawang merah', 'tepung beras']"
331,"['kencur', 'terasi', 'oncom', 'cabai rawit', 'cabai merah', 'bawang putih', 'bawang merah', 'daun kemangi']"
332,"['daun jeruk', 'asam jawa', 'daun salam', 'cabai merah', 'kunyit', 'udang', 'bawang putih', 'bawang merah', 'serai', 'ikan tenggiri', 'merah', 'giling']"
333,"['serai', 'lengkuas', 'daun salam', 'jahe', 'kunyit', 'bawang putih', 'bawang merah', 'petis', 'merah', 'lemak', 'kaldu sapi', 'daging sapi']"
334,"['lada bubuk', 'wijen', 'saus tiram', 'kacang tanah', 'labu siam', 'tepung tapioka', 'cabai merah', 'daun bawang', 'bawang putih', 'bawang merah', 'ikan tenggiri']"
335,"['madu', 'ayam', 'roti tawar', 'kaldu', 'telur', 'pala bubuk', 'merica bubuk', 'kecap manis', 'margarin', 'giling', 'daging sapi']"
336,"['bubuk', 'matcha powder', 'susu full cream', 'creamer']"
337,"['kopi', 'hitam', 'alpukat', 'susu kental manis']"
338,"['petis udang', 'cabai rawit', 'kecap manis', 'bawang putih', 'merah']"
339,"['kering', 'petai', 'cabai merah', 'teri', 'bawang merah', 'merah']"
340,"['lada bubuk', 'hela', 'bihun', 'telur', 'bawang putih bubuk', 'daun bawang', 'sate', 'tepung maizena']"
341,"['lada bubuk', 'hela', 'telur', 'bawang putih bubuk', 'daun bawang', 'sate', 'tepung maizena', 'susu']"
342,"['bubuk kari', 'jamur', 'cabai bubuk', 'beras basmati', 'kaldu ayam', 'ijo', 'jeruk nipis', 'jahe', 'tomat', 'paha ayam', 'bawang putih', 'bawang bombay', 'serai', 'cabai', 'yoghurt']"
343,"['terasi', 'kol', 'kacang', 'cabai rawit', 'cabai merah', 'timun', 'bawang putih', 'bawang merah']"
344,"['merica bubuk', 'kecap manis', 'cabai rawit', 'ayam', 'bawang putih', 'mie kuning', 'selada']"
345,"['babat sapi', 'daun jeruk', 'bubuk', 'lengkuas', 'daun salam', 'babat', 'bawang putih', 'bawang merah', 'serai', 'kaldu sapi', 'daging sapi']"
346,"['terasi', 'tahu putih', 'cabai merah', 'cabai rawit', 'tomat', 'bawang putih', 'bawang merah']"
347,"['lengkuas', 'daun salam', 'kecap manis', 'bawang putih', 'bawang merah', 'tempe']"
348,"['telur', 'cabai merah', 'cabai rawit', 'kecap manis', 'pare', 'bawang merah']"
349,"['daun kemangi', 'serai', 'dada ayam', 'santan', 'cabai merah', 'jahe', 'ikan teri', 'beras', 'bawang putih', 'bawang merah', 'kental']"
350,"['kacang tanah', 'daun jeruk', 'cabai rawit', 'bawang putih', 'merah', 'kencur']"
351,"['terasi', 'kacang tanah', 'ayam', 'asam jawa', 'santan', 'cabai merah', 'cabai rawit', 'kemiri', 'bawang putih', 'bawang merah', 'merah', 'kencur']"
352,"['susu kental manis', 'whip', 'cream', 'mangga', 'batu', 'whipping cream']"
353,"['bubuk', 'kopi', 'hitam', 'aren', 'krimer', 'batu', 'susu full cream']"
354,"['ketumbar bubuk', 'bawang putih', 'nasi putih']"
355,"['susu kental manis', 'ayam kampung', 'jeruk nipis', 'teh', 'kuning telur']"
356,"['tepung terigu', 'susu kental manis', 'butter', 'susu bubuk', 'bubuk spekuk', 'kuning telur']"
357,"['lada bubuk', 'kerang hijau', 'cabai merah keriting', 'daun jeruk', 'daun salam', 'jahe', 'kunyit', 'putih', 'kaldu bubuk', 'serai', 'lengkuas']"
358,"['daun kemangi', 'cabai rawit merah', 'muda', 'lada', 'cabai merah keriting', 'ayam', 'jeruk nipis', 'santan', 'cabai merah', 'mangga', 'daun bawang', 'tomat', 'kemiri']"
359,"['plain', 'jelly', 'bubuk', 'kopi', 'hitam', 'susu full cream']"
360,"['dada ayam', 'daun salam', 'pala bubuk', 'merica bubuk', 'kunyit', 'beras', 'bawang putih', 'bawang merah']"
361,"['susu kental manis', 'teh']"
362,"['keju cheddar', 'kaldu', 'telur', 'bakso', 'merica bubuk', 'rebusan', 'ayam', 'tepung tapioka', 'bawang putih', 'daging sapi']"
363,"['brown sugar', 'tepung tapioka', 'coklat bubuk', 'batu', 'susu full cream']"
364,"['terasi', 'lengkuas', 'daun salam', 'cabai rawit', 'cabai merah', 'tomat', 'bawang merah']"
365,"['lemon', 'stroberi']"
366,"['kelapa', 'ragi instant', 'vanili', 'daun pandan', 'santan', 'tepung tapioka', 'tepung beras']"
367,"['cabai merah keriting', 'bubuk', 'kayu manis', 'biji', 'cabai merah', 'jahe', 'cengkeh', 'asam', 'bawang putih', 'bawang merah', 'lengkuas', 'merah', 'daging sapi']"
368,"['terasi', 'jeruk nipis', 'cabai merah', 'cabai rawit', 'tomat', 'bawang merah', 'kencur']"
369,"['lada', 'cabai merah keriting', 'ayam', 'jeruk nipis', 'cabai merah', 'jahe', 'kunyit', 'tomat', 'putih', 'bawang putih', 'bawang merah', 'lengkuas', 'merah', 'ketumbar']"
370,"['tape singkong', 'alpukat', 'roti tawar', 'hela', 'susu kental manis', 'tape ketan', 'daun pandan', 'santan']"
371,"['sedap', 'ikan tongkol', 'cabai merah keriting', 'serai', 'jeruk nipis', 'cabai rawit hijau', 'cabai merah', 'tomat', 'putih', 'bawang putih', 'bawang merah', 'lengkuas', 'merah']"
372,"['terasi', 'cabai merah keriting', 'ayam', 'daun jeruk', 'daun salam', 'jeruk nipis', 'santan', 'cabai merah', 'jahe', 'bawang putih', 'bawang merah', 'lengkuas']"
373,"['daun kemangi', 'terasi', 'cabai merah', 'cabai rawit', 'tomat', 'bawang putih', 'setan', 'merah']"
374,"['tepung maizena', 'pasta', 'telur', 'putih telur', 'pandan', 'cream of tartar', 'susu']"
375,"['daun kunyit', 'daging sapi', 'kaldu', 'lengkuas', 'daun salam', 'kayu manis', 'santan', 'bunga lawang', 'cengkeh', 'bawang merah', 'serai', 'daging sapi', 'kapulaga', 'kental']"
376,"['sate', 'terasi', 'cabai merah keriting', 'ayam', 'serai', 'jeruk nipis', 'cabai merah', 'putih', 'bawang putih', 'bawang merah', 'lengkuas', 'ketumbar']"
377,"['nasi', 'tepung sagu', 'lada', 'tepung terigu', 'daun bawang', 'bawang putih', 'ketumbar']"
378,"['saus tiram', 'lengkuas', 'cabai merah', 'cabai rawit', 'bawang putih', 'giling', 'pakis']"
379,"['wijen', 'sawi putih', 'bubuk', 'jahe', 'kecap ikan', 'putih', 'cabai', 'bawang putih', 'bawang bombay', 'wortel', 'tepung beras']"
380,"['cooking', 'tepung terigu', 'susu', 'coklat bubuk', 'chocolate', 'dark', 'margarin', 'baking powder']"
381,"['tepung ketan', 'hela', 'kelapa muda', 'daun pandan', 'santan', 'warna', 'hijau', 'ungu', 'orange', 'tepung beras']"
382,"['cabai merah keriting', 'bawang', 'dada ayam', 'telur', 'daun salam', 'daun pisang', 'santan', 'cabai merah', 'cabai rawit', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'kental']"
