,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
35967,ayam,lalap,1727,40,1,-0.023374720534749493
26607,bawang merah,daun kari,4710,44,3,-0.023374720534749493
20892,ayam,jeruk,1727,40,1,-0.023374720534749493
27074,ayam,sagu,1727,40,1,-0.023374720534749493
19067,ayam,keruk,1727,40,1,-0.023374720534749493
61172,kaldu jamur,kelapa,141,490,1,-0.02351946975697513
63873,merah,susu full cream,617,112,1,-0.023722083474616906
44890,serbaguna,udang,84,823,1,-0.02412718779451801
12332,pasta,udang,168,823,2,-0.02412718779451801
22473,keju mozarella,merica,70,988,1,-0.024532128071361296
39313,cabai hijau,sawi,248,279,1,-0.0249947162604823
9418,hela,kecap manis,139,996,2,-0.02542819842947922
26375,daun jeruk,mie kuning,1506,92,2,-0.026207993123068415
6276,daun jeruk,kulit lumpia,1506,46,1,-0.026207993123068415
55435,ayam kampung,pala bubuk,190,365,1,-0.027275614017112183
14432,jeruk nipis,kecap asin,836,332,4,-0.02782340915543413
19460,baking powder,manis,538,129,1,-0.02802515279759101
44787,jagung,merica bubuk,252,827,3,-0.028975682141139412
61716,daging sapi,oregano,1037,67,1,-0.029134015894627868
57202,pala bubuk,putih,98,709,1,-0.029177193476833993
65211,bubuk kari,kaldu bubuk,125,556,1,-0.02943621982701801
52348,kol,tempe,212,328,1,-0.029954071330290665
37623,kunyit,seledri,380,366,2,-0.0300115938359869
55439,ayam kampung,seledri,190,366,1,-0.0300115938359869
62538,serai,tepung tapioka,144,483,1,-0.030184141502707828
31751,cabai,muda,216,322,1,-0.030184141502707828
12387,hijau,wijen,323,646,3,-0.030193726611283236
13062,cabai rawit,kecap,1087,64,1,-0.030414158755015817
61963,asam jawa,telur puyuh,710,98,1,-0.030586636980067507
104,kacang tanah,kelapa,284,490,2,-0.030586636980067507
7555,beras,lengkuas,353,1774,9,-0.03058983074073675
1464,daun salam,kaldu jamur,1460,143,3,-0.030778244568314222
36840,jeruk nipis,kentang,836,333,4,-0.030830930219389367
41837,bakso,telur ayam,233,299,1,-0.03183621523052157
98,cabai merah,tauge,1597,349,8,-0.03186671701173814
18034,cabai hijau,sedap,248,281,1,-0.03213760377286243
13927,bawang putih,teri nasi,6536,32,3,-0.03255843894559021
48991,biji,singkong,581,120,1,-0.03259668790809177
26227,beras,merica,353,988,5,-0.03306703052119869
12032,masak,wijen,108,646,1,-0.03328491918095609
3182,cabai merah keriting,kaldu ayam bubuk,851,164,2,-0.03348556411176183
43421,kulit,wortel,213,983,3,-0.0336431854626165
