,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
7584,pulen,selongsong,1,3,1,10.021033523057756
1245,abon ayam,abon sapi,3,1,1,10.021033523057756
53674,puding,ramekin,3,1,1,10.021033523057756
14796,creamer,matcha powder,2,2,1,9.733351450605975
66717,swallow,white,1,6,1,9.327886342497811
17674,rennet,sitrat,2,3,1,9.327886342497811
66726,argar,biskuit marie regal,6,1,1,9.327886342497811
17677,renin,rennet,3,2,1,9.327886342497811
10030,wafer,whippng,1,6,1,9.327886342497811
18372,tulang kaki sapi,urat sapi,1,8,1,9.04020427004603
17673,renin,sitrat,3,3,1,8.922421234389645
17676,sitrat,susu sapi,1,9,1,8.922421234389645
23203,lenjer,pempek,5,2,1,8.81706071873182
19910,flour,kristal,5,2,1,8.81706071873182
41214,berwana,biru,10,1,1,8.81706071873182
3935,tetelan sapi,tulang rangu,1,10,1,8.81706071873182
19895,kristal,raising,4,3,1,8.634739161937866
11249,asi,kabocha,4,3,1,8.634739161937866
1722,shortening,soft cream,3,4,1,8.634739161937866
19892,raising,self,3,4,1,8.634739161937866
14293,dashi,miso,12,1,1,8.634739161937866
56154,asli,canola,13,1,1,8.55469645426433
25164,zest,zestnya,1,13,1,8.55469645426433
19894,flour,raising,5,3,1,8.411595610623655
304,vla,x,1,15,1,8.411595610623655
7365,zaitun,zukini,1,15,1,8.411595610623655
19298,chia,delima,8,2,1,8.347057089486084
62142,kolang kaling,raspberry,16,1,1,8.347057089486084
19907,kristal,self,4,4,1,8.347057089486084
8743,cappucino,cincau,4,4,1,8.347057089486084
61155,kuini,mangga kweni,2,8,1,8.347057089486084
17681,rennet,susu sapi,2,9,1,8.2292740538297
21778,susu kedelai,susu sapi,2,9,1,8.2292740538297
13816,pindang,salem,3,6,1,8.2292740538297
38972,asam gelugur,bunga pepaya,9,2,1,8.2292740538297
20270,tomat hijau,tulang jambal roti,2,9,1,8.2292740538297
11359,edamame,fishcake,19,1,1,8.175206832559425
56307,sponge,whipped,1,19,1,8.175206832559425
17490,garing,ikan salai,4,5,1,8.123913538171875
54953,roll,spring,2,10,1,8.123913538171875
8750,cappucino,saset,4,5,1,8.123913538171875
40088,tomat hijau,utuhkan,2,10,1,8.123913538171875
19906,flour,self,5,4,1,8.123913538171875
17493,ikan salai,sundai,3,7,1,8.075123374002443
49306,melinjo hijau,melinjo merah,2,11,1,8.02860335836755
54621,barang,bread improver,23,1,1,7.984151595796716
35170,abai,asam kandis,24,1,1,7.94159198137792
34018,pongtahu,sumedangtahu,3,8,1,7.94159198137792
11356,fishcake,shitake,6,4,1,7.94159198137792
62508,keras,oyong,3,8,1,7.94159198137792
12281,chicken katsu,indomie,6,4,1,7.94159198137792
8962,daun mint,soda,2,12,1,7.94159198137792
7450,pethek,tiwul,2,12,1,7.94159198137792
59960,sirih,telunjuk,2,12,1,7.94159198137792
66722,biskuit marie regal,swallow,5,5,1,7.900769986857664
17679,renin,susu sapi,3,9,1,7.823808945721536
41474,paletta,poppyseed,7,4,1,7.787441301550662
17500,garing,sundai,4,7,1,7.787441301550662
14294,miso,tofu,2,14,1,7.787441301550662
15814,tape ketan,tape singkong,1,28,1,7.787441301550662
17511,limau,sundai,4,7,1,7.787441301550662
55874,palm,perwarna,3,10,1,7.71844843006371
66719,biskuit marie regal,white,5,6,1,7.71844843006371
66713,krimer kental manis,swallow,6,5,1,7.71844843006371
66723,argar,swallow,6,5,1,7.71844843006371
22897,whip,yogurt,2,15,1,7.71844843006371
4819,kirm,ma,6,5,1,7.71844843006371
34783,bunga genjer,genjer,6,5,1,7.71844843006371
7583,ketupat,pulen,16,2,1,7.653909908926139
17504,api,garing,8,4,1,7.653909908926139
3713,barbeque,jumbo,32,1,1,7.653909908926139
59441,temopo,temu kunci,1,33,1,7.623138250259386
23202,cuko,pempek,17,2,1,7.593285287109704
8740,cincau,saset,7,5,1,7.5642977502364515
18376,sengkel,tulang kaki sapi,5,7,1,7.5642977502364515
12755,ubi cilembu,ubi ungu,1,35,1,7.5642977502364515
21334,jeroan kambing,kaki kambing,5,7,1,7.5642977502364515
4821,harum,kirm,9,4,1,7.5361268732697555
66712,krimer kental manis,white,6,6,1,7.5361268732697555
66720,argar,white,6,6,1,7.5361268732697555
17492,ikan salai,limau,3,12,1,7.5361268732697555
13773,soda,stroberi,6,6,1,7.5361268732697555
65108,marble,motif,6,6,1,7.5361268732697555
15043,babat,babat sapi,37,1,1,7.508727899081641
16656,andaliman,batak,39,1,1,7.456084165596219
11670,elbow,macaroni,13,3,1,7.456084165596219
8873,salmon,shoyu,3,13,1,7.456084165596219
25191,ampela,ati,40,3,3,7.430766357611929
18387,sengkel,urat sapi,5,8,1,7.430766357611929
63684,milkshake,nutrisari,5,8,1,7.430766357611929
17497,api,ikan salai,8,5,1,7.430766357611929
64388,tegal,tepung kanji,1,41,1,7.4060737450215575
19297,delima,oat,7,6,1,7.3819761934424974
8005,bunga cengkeh,ceengkeh,14,3,1,7.3819761934424974
56968,extract,fermipan,21,2,1,7.3819761934424974
18234,paru,usus,3,14,1,7.3819761934424974
21309,kaki kambing,tulang kambing,4,11,1,7.335456177807604
24595,anggur,apel,22,2,1,7.335456177807604
19312,oat,yogurt,3,15,1,7.312983321955546
46336,chili,garlic,9,5,1,7.312983321955546
4863,harum,ma,9,5,1,7.312983321955546
61701,bake,basil,15,3,1,7.312983321955546
7582,ketupat,selongsong,16,3,1,7.248444800817975
7054,cake emulsifier,essence vanilla,12,4,1,7.248444800817975
32906,estrak,mambo,8,6,1,7.248444800817975
17499,garing,limau,4,12,1,7.248444800817975
19306,chia,oat,8,6,1,7.248444800817975
19736,fondant,ganache,8,6,1,7.248444800817975
28875,vanili,whipping,7,7,1,7.2278255136152385
19679,cookies,fondant,10,5,1,7.20762280629772
5358,chocolatos,drink,25,2,1,7.20762280629772
53566,unsalted,whip,2,25,1,7.20762280629772
19671,cake,cookies,17,3,1,7.18782017900154
7968,bilah,jepit,9,6,1,7.130661765161591
30039,sirup,timun suri,27,2,1,7.130661765161591
21315,jeroan kambing,tulang kambing,5,11,1,7.112312626493394
54640,raja,stick,5,11,1,7.112312626493394
57381,roti burger,worcestershire,5,11,1,7.112312626493394
18205,hati,jeroan sapi,7,8,1,7.094294120990717
60707,kacang mete,kurma,8,7,1,7.094294120990717
64871,action,baking powder,8,7,1,7.094294120990717
63702,nutrijell,nutrisari,7,8,1,7.094294120990717
14359,katsuobushi,okonomiyaki,7,8,1,7.094294120990717
66473,dadar,dangmyeon,14,4,1,7.094294120990717
32901,estrak,jambu,8,7,1,7.094294120990717
17519,api,sundai,8,7,1,7.094294120990717
54685,stick,uli,4,15,1,7.025301249503765
64378,tahu kuning,tegal,15,4,1,7.025301249503765
15304,kopi,krimer,12,5,1,7.025301249503765
14379,dashi,katsuobushi,12,5,1,7.025301249503765
19676,cookies,ganache,10,6,1,7.025301249503765
14095,bolognese,mozarella,24,5,2,7.025301249503765
66715,biskuit marie regal,krimer kental manis,5,12,1,7.025301249503765
40093,filet,utuhkan,6,10,1,7.025301249503765
66708,kopi,swallow,12,5,1,7.025301249503765
10830,ragi instant,spray,60,1,1,7.025301249503765
47778,teri medan,untum,4,15,1,7.025301249503765
8744,kopi,saset,12,5,1,7.025301249503765
57304,garlic,ikan dori,20,3,1,7.025301249503765
21775,green tea,susu kedelai,15,4,1,7.025301249503765
29507,seafood,tulang ayam,1,61,1,7.008771947552554
19699,ganache,lollipop,7,9,1,6.976511085334333
45399,donat,mises,9,7,1,6.976511085334333
60414,baby potato,ikan dori,21,3,1,6.976511085334333
31272,baller,kiwi,9,7,1,6.976511085334333
16815,beras ketan,beserta,65,1,1,6.945258541830229
49847,mangkok,overmix,13,5,1,6.945258541830229
53525,diganti,evaporated,13,5,1,6.945258541830229
63662,blue,milkshake,11,6,1,6.92999106969944
18275,jeroan sapi,paru,6,11,1,6.92999106969944
46367,pepper,powder,3,22,1,6.92999106969944
59910,kapuh,sirih,6,11,1,6.92999106969944
64794,karamel,mapel,11,6,1,6.92999106969944
24345,cheese,mascarpone,22,3,1,6.92999106969944
32948,lilin,mambo,11,6,1,6.92999106969944
67352,essense,mocca,11,6,1,6.92999106969944
28895,lidah buaya,melon,2,34,1,6.9001381065497585
63682,milkshake,nutrijell,5,14,1,6.871150569676506
57248,salad,saus tartar,10,7,1,6.871150569676506
54641,mineral,raja,7,10,1,6.871150569676506
50958,bengkoang,jambu,10,7,1,6.871150569676506
8364,akar,beef,35,2,1,6.871150569676506
938,essence vanilla,pasta mocca,18,4,1,6.84297969270981
66716,argar,krimer kental manis,6,12,1,6.84297969270981
13458,kecambah,rempeyek,8,9,1,6.84297969270981
59903,kapuh,telunjuk,6,12,1,6.84297969270981
31555,churros,green tea,9,8,1,6.84297969270981
30040,cocopandan,timun suri,36,2,1,6.84297969270981
10720,kerupuk udang,quaker oat,8,9,1,6.84297969270981
6077,bolognese,brulee,24,3,1,6.84297969270981
54771,pedas,suka,8,9,1,6.84297969270981
9279,chia seed,mayones,9,8,1,6.84297969270981
48036,batagor,gado,12,6,1,6.84297969270981
22461,cheddar,jamur champignon,9,8,1,6.84297969270981
66707,kopi,white,12,6,1,6.84297969270981
19702,fondant,lollipop,8,9,1,6.84297969270981
32909,estrak,lilin,8,9,1,6.84297969270981
60209,kipas,pisang kapok,24,3,1,6.84297969270981
2063,cilok,kaldu jamur bubuk,5,15,1,6.802157698189555
54636,raja,uli,5,15,1,6.802157698189555
7355,thyme,zukini,5,15,1,6.802157698189555
11355,edamame,shitake,19,4,1,6.788912471439534
54704,mineral,stick,7,11,1,6.775840389872181
57297,powder,saus tartar,11,7,1,6.775840389872181
18198,hati,paru,7,11,1,6.775840389872181
52064,mangkok,minum,13,6,1,6.762936985036274
63143,hilang,icing,13,6,1,6.762936985036274
21325,iga kambing,jeroan kambing,13,6,1,6.762936985036274
9280,kol putih,mayones,10,8,1,6.737619177051984
59644,cingur,pisang klutuk,8,10,1,6.737619177051984
35843,iga,jamur champignon,10,8,1,6.737619177051984
7051,butter cream,cake emulsifier,80,1,1,6.737619177051984
7494,gereh,pethek,8,10,1,6.737619177051984
66920,pisang lilin,vanilli,4,20,1,6.737619177051984
7969,kayu,secang,8,20,2,6.737619177051984
9022,cina,pacar,10,8,1,6.737619177051984
9297,chia seed,kol merah,9,9,1,6.725196657053426
32345,sandung lamur,semangit,9,9,1,6.725196657053426
12684,nori,tobiko,9,9,1,6.725196657053426
28891,susu evaporasi,whipping,12,7,1,6.688829012882552
11253,asi,ayam,4,21,1,6.688829012882552
8097,ceengkeh,daun pala,12,7,1,6.688829012882552
60210,essence,pisang kapok,28,3,1,6.688829012882552
19734,ganache,kue,7,12,1,6.688829012882552
18241,jeroan sapi,usus,6,14,1,6.688829012882552
39471,gabin tawar,tape singkong,3,28,1,6.688829012882552
46866,medan,putren,4,21,1,6.688829012882552
56161,canola,essence,12,7,1,6.688829012882552
52649,meggunakan,tomyam,6,14,1,6.688829012882552
56293,cake,sponge,17,5,1,6.676994555235549
19691,cake,fondant,17,5,1,6.676994555235549
10374,warna,warni,8,75,7,6.6686263055650326
6645,burung,puyuh,8,11,1,6.642308997247659
16626,batak,mi,11,8,1,6.642308997247659
11849,chunjang,kedelai,11,8,1,6.642308997247659
57385,selada,worcestershire,8,11,1,6.642308997247659
64855,action,baking soda,8,11,1,6.642308997247659
36087,parang,salted,11,8,1,6.642308997247659
63667,blue,nutrisari,11,8,1,6.642308997247659
59594,petis udang,pisang klutuk,9,10,1,6.6198361413956
62051,ice cream,putar,9,10,1,6.6198361413956
53591,pastry,pipihkan,10,9,1,6.6198361413956
46369,chili,pepper,9,10,1,6.6198361413956
22901,arumanis,yogurt,6,15,1,6.6198361413956
55403,semangka,sunkist,10,9,1,6.6198361413956
19672,cookies,lollipop,10,9,1,6.6198361413956
32915,jambu,mambo,15,6,1,6.6198361413956
21319,iga kambing,kaki kambing,13,7,1,6.608786305209016
67212,kaki,tunjang,7,13,1,6.608786305209016
27463,jambu biji,kedondong,7,13,1,6.608786305209016
56184,asli,essence,13,7,1,6.608786305209016
43613,jelly,leci,47,2,1,6.576351029455862
30664,ubi kuning,ungu,1,94,1,6.576351029455862
22898,arumanis,cream,6,16,1,6.555297620258029
48702,kerupuk kanji,ketupat,4,24,1,6.555297620258029
19308,naga,oat,16,6,1,6.555297620258029
14361,dashi,okonomiyaki,12,8,1,6.555297620258029
7448,gereh,tiwul,8,12,1,6.555297620258029
19074,sayap,sayap ayam,3,32,1,6.555297620258029
17515,api,limau,8,12,1,6.555297620258029
46374,pepper,rosemary,3,32,1,6.555297620258029
32035,pasak,pisang raja,6,16,1,6.555297620258029
7427,daun pepaya,gereh,24,4,1,6.555297620258029
56163,canola,lampir,12,8,1,6.555297620258029
19742,fondant,kue,8,12,1,6.555297620258029
32930,mambo,nutella,4,24,1,6.555297620258029
8747,cappucino,kopi,4,24,1,6.555297620258029
18194,hati,usus,7,14,1,6.534678333055293
53587,pipihkan,unsalted,7,14,1,6.534678333055293
8007,bunga cengkeh,daun pala,14,7,1,6.534678333055293
57136,sirsak,strawberry,2,49,1,6.534678333055293
62141,raspberry,sirup,1,98,1,6.534678333055293
8723,english muffin,roti,7,14,1,6.534678333055293
53585,evaporated,pipihkan,11,9,1,6.524525961591276
31309,baller,biji selasih,9,11,1,6.524525961591276
5631,segitiga,syrup,9,11,1,6.524525961591276
20258,gendot,tulang jambal roti,11,9,1,6.524525961591276
9046,lokal,teh,2,50,1,6.5144756257377745
12730,tepung ketan putih,ubi cilembu,10,10,1,6.5144756257377745
65602,lemon cui,mengkal,8,25,2,6.5144756257377745
19688,cake,ganache,17,6,1,6.494672998441595
9275,kol merah,mayones,13,8,1,6.475254912584493
2661,kapur sirih,ubi merah,26,4,1,6.475254912584493
56186,asli,lampir,13,8,1,6.475254912584493
28896,kapur sirih,lidah buaya,26,4,1,6.475254912584493
25119,vanilla,zestnya,8,13,1,6.475254912584493
54686,mineral,uli,7,15,1,6.465685461568342
20129,taro,ubi ungu,3,35,1,6.465685461568342
7391,ungu,zukini,7,15,1,6.465685461568342
19304,delima,yogurt,7,15,1,6.465685461568342
57910,kecipir,rendamannya,4,27,1,6.4375145846016455
58060,ketimun,taburi,10,11,1,6.419165445933449
31250,milo,powder,5,22,1,6.419165445933449
12754,corn syrup,ubi cilembu,11,10,1,6.419165445933449
24543,alpukat,anggur,111,1,1,6.4101156104135315
15315,krimer,susu full cream,1,112,1,6.401146940430771
14795,matcha powder,susu full cream,1,112,1,6.401146940430771
19348,spekoek,sukade,7,16,1,6.401146940430771
8021,daun pala,kayu,8,14,1,6.401146940430771
36064,labu,parang,21,11,2,6.370375281764018
1320,choco chips,filo,58,2,1,6.366055620619501
46402,black,chili,29,4,1,6.366055620619501
12306,indomie,kacang polong,4,29,1,6.366055620619501
67246,kikil sapi,tunjang,9,13,1,6.357471876928109
53521,diganti,pipihkan,13,9,1,6.357471876928109
27850,pisang tanduk,talam,9,13,1,6.357471876928109
9075,andaliman,ayam kampung,39,3,1,6.357471876928109
54078,perkuntum,ujung,9,13,1,6.357471876928109
62053,ice cream,kedondong,9,13,1,6.357471876928109
55855,palm,tepung ketan putih,3,39,1,6.357471876928109
57298,ikan dori,saus tartar,17,7,1,6.340522318614336
19685,cake,cream cheese,17,14,2,6.340522318614336
8807,rumput laut,salmon,10,12,1,6.33215406894382
66710,biskuit marie regal,kopi,5,24,1,6.33215406894382
64744,garpu,karamel,40,3,1,6.33215406894382
19677,cookies,kue,10,12,1,6.33215406894382
41228,berwana,soda,10,12,1,6.33215406894382
19319,chia,yogurt,8,15,1,6.33215406894382
8768,salad,salmon,10,12,1,6.33215406894382
7221,hoisin,kertas,11,11,1,6.323855266129124
54170,gendot,tahu gembos,11,11,1,6.323855266129124
60868,kembang turi,teri,3,41,1,6.307461456353448
25845,kue,talam,29,13,3,6.2860129129459645
61733,jamur merang,lasagna,14,9,1,6.283363904774387
46886,ikan teri,medan,21,6,1,6.283363904774387
47855,tiram,tofu,9,14,1,6.283363904774387
52607,meggunakan,perkuntum,6,21,1,6.283363904774387
52605,perkuntum,tomyam,9,14,1,6.283363904774387
1287,bel,kulit melinjo,7,18,1,6.283363904774387
65907,gulung,sari,18,7,1,6.283363904774387
16579,pare,setan,6,21,1,6.283363904774387
18207,sandung lamur,usus,9,14,1,6.283363904774387
4813,jus,kirm,32,4,1,6.2676155478062485
9010,kolang kaling,pacar,16,8,1,6.2676155478062485
67047,bawang putih bubuk,buntut,128,1,1,6.2676155478062485
64118,pastry,puff,10,13,1,6.252111361270283
8767,salad,shoyu,10,13,1,6.252111361270283
66423,dangmyeon,jamur shitake,13,10,1,6.252111361270283
50994,bengkoang,kedondong,10,13,1,6.252111361270283
8806,rumput laut,shoyu,10,13,1,6.252111361270283
57433,kaki sapi,pipih,4,33,1,6.236843889139495
7052,cake emulsifier,kertas,12,11,1,6.236843889139495
56327,vanili,zest,7,19,1,6.229296683504112
32918,jambu,lilin,15,9,1,6.214371033287436
61692,bake,lasagna,15,9,1,6.214371033287436
10023,sirup,wafer,27,5,1,6.214371033287436
9023,pacar,sagu mutiara,3,45,1,6.214371033287436
21774,green tea,susu sapi,15,9,1,6.214371033287436
9308,chia seed,kol putih,9,15,1,6.214371033287436
1321,filo,pastry,5,27,1,6.214371033287436
4830,harum,jus,9,15,1,6.214371033287436
19533,kurma,spekoek,8,17,1,6.206990925989813
23205,cuko,lenjer,17,8,1,6.206990925989813
9591,selada,tortilla,8,17,1,6.206990925989813
66266,pisang ambon,sunpride,23,6,1,6.19239212656866
1243,abon ayam,kulit lumpia,3,46,1,6.19239212656866
53449,bread improver,minum,23,6,1,6.19239212656866
66264,barang,sunpride,23,6,1,6.19239212656866
17678,asam,renin,140,1,1,6.1780033891165616
19673,cookies,cream cheese,10,14,1,6.1780033891165616
19300,delima,naga,7,20,1,6.1780033891165616
57294,garlic,saus tartar,20,7,1,6.1780033891165616
41396,kisi,sengkel,7,20,1,6.1780033891165616
53630,pastry,unsalted,10,14,1,6.1780033891165616
66428,dadar,jamur shitake,14,10,1,6.1780033891165616
21308,iga kambing,tulang kambing,13,11,1,6.1568011814659585
46325,fettucini,keju parmesan,11,13,1,6.1568011814659585
2839,ikan pe,pari,13,11,1,6.1568011814659585
64046,cooking cream,puff,11,13,1,6.1568011814659585
56164,canola,ekstrak,12,12,1,6.149832512149865
66711,argar,kopi,6,24,1,6.149832512149865
40101,filet,ikan gurame,6,24,1,6.149832512149865
66706,kopi,krimer kental manis,12,12,1,6.149832512149865
33202,aren,asam jawa,72,2,1,6.149832512149865
2005,aren,bacem,72,2,1,6.149832512149865
23276,kecambah,labu,8,18,1,6.149832512149865
13424,sosis ayam,spaghetti,2,72,1,6.149832512149865
56488,cangkang,kerang hijau,5,29,1,6.142912069305291
50019,black,buah cherry,29,5,1,6.142912069305291
46339,black,garlic,29,5,1,6.142912069305291
14089,mozarella,sosis sapi,10,29,2,6.142912069305291
39939,temu kunci,tomat hijau,1,147,1,6.129213224947129
27803,bon,nori,7,21,1,6.129213224947129
51141,nipis,tomat hijau,1,147,1,6.129213224947129
62025,mengkal,putar,15,10,1,6.10901051762961
22699,baby,kolcuciwis,15,10,1,6.10901051762961
22893,arumanis,whip,6,25,1,6.10901051762961
57619,leunca,oncom,3,50,1,6.10901051762961
10375,sprinkles,warni,2,75,1,6.10901051762961
25120,vanilla,zest,8,19,1,6.095765290879589
19684,cake,lollipop,17,9,1,6.08920789033343
1726,ekstrak,shortening,51,3,1,6.08920789033343
11830,chunjang,zucchini,11,14,1,6.082693209312236
58286,lilin,nutrijell,11,14,1,6.082693209312236
1060,kucai,rebon,14,11,1,6.082693209312236
63665,blue,nutrijell,11,14,1,6.082693209312236
11832,kedelai,zucchini,11,14,1,6.082693209312236
53617,evaporated,unsalted,11,14,1,6.082693209312236
53833,paprika merah,sungutnya,14,11,1,6.082693209312236
67216,kaki,kikil sapi,7,22,1,6.082693209312236
7592,beras ketan putih,jamur hioko,31,5,1,6.076220694806619
59397,petai,tempoyak,31,5,1,6.076220694806619
19618,biru,kunci,52,3,1,6.069789804476328
63154,hilang,sugar,13,12,1,6.069789804476328
53530,diganti,ekstrak,13,12,1,6.069789804476328
56187,asli,ekstrak,13,12,1,6.069789804476328
60017,ikan pe,lombok,13,12,1,6.069789804476328
18099,talam,telur bebek,12,13,1,6.069789804476328
7380,basil,blansir,52,3,1,6.069789804476328
18211,paru,sandung lamur,3,53,1,6.050741609505634
8057,daun pala,secang,8,20,1,6.044471996492039
62033,pepaya,putar,16,10,1,6.044471996492039
19315,chia,naga,8,20,1,6.044471996492039
4828,jus,ma,32,5,1,6.044471996492039
19686,butter cream,cake,80,2,1,6.044471996492039
58280,nutrijell,segitiga,7,23,1,6.038241446741402
55396,nata de coco,sunkist,18,9,1,6.032049476493482
10725,kacang kedelai,quaker oat,18,9,1,6.032049476493482
10025,sirup,whippng,27,6,1,6.032049476493482
8359,beef,gochugaru,18,9,1,6.032049476493482
13763,sirup,stroberi,27,6,1,6.032049476493482
31305,baller,batu,9,18,1,6.032049476493482
54954,kari,roll,18,9,1,6.032049476493482
22677,baby,brokoli,15,11,1,6.013700337825285
58682,jantung pisang,teri medan,3,55,1,6.013700337825285
21776,susu sapi,tawar,1,167,1,6.00165199930911
10003,cincau,jelly,7,24,1,5.995681832322607
36066,labu,salted,21,8,1,5.995681832322607
8019,ceengkeh,kayu,12,14,1,5.995681832322607
24182,essence,maple,28,6,1,5.995681832322607
336,kulit pastry,vla,12,14,1,5.995681832322607
7056,cake emulsifier,roti,12,14,1,5.995681832322607
14295,dashi,tofu,12,14,1,5.995681832322607
8739,cincau,kopi,7,24,1,5.995681832322607
63778,kipas,kiwi,24,7,1,5.995681832322607
26329,kapri,krecek,24,7,1,5.995681832322607
43615,kaleng,leci,85,2,1,5.983847374675603
8756,rumput laut,salad,10,17,1,5.983847374675603
35841,iga,jamur enoki,10,17,1,5.983847374675603
12685,ikan salmon,tobiko,19,9,1,5.977982255223206
31320,cream,full,69,5,2,5.969248575254451
12278,chicken katsu,kacang polong,6,29,1,5.960590512511336
12274,chicken katsu,daun selada,6,29,1,5.960590512511336
12733,tepung ketan putih,ubi ungu,10,35,2,5.954859837802351
35842,akar,iga,35,5,1,5.954859837802351
53560,pipihkan,whip,7,25,1,5.954859837802351
51922,bunga sedap malam,putiknya,16,11,1,5.949161816687714
6078,brulee,daging giling,9,20,1,5.926688960835655
59553,celimpungan,ikan gabus,15,12,1,5.926688960835655
306,kulit pastry,x,12,15,1,5.926688960835655
8973,cina,kacang hijau,10,18,1,5.926688960835655
63681,melon,milkshake,30,6,1,5.926688960835655
7332,terong,zukini,12,15,1,5.926688960835655
9013,cina,kolang kaling,10,18,1,5.926688960835655
7395,blansir,zukini,12,15,1,5.926688960835655
24360,cream cheese,mascarpone,60,3,1,5.926688960835655
6369,gulung,pangsit,18,10,1,5.926688960835655
54978,kari,spring,18,10,1,5.926688960835655
11807,wijen,zucchini,13,14,1,5.91563912464907
53527,diganti,unsalted,13,14,1,5.91563912464907
39670,perwarna,tepung hunkwe,7,26,1,5.91563912464907
564,beras jagung,ikan asin,13,14,1,5.91563912464907
30659,tepung sagu,ubi kuning,61,3,1,5.910159658884445
8721,cuka,english muffin,185,1,1,5.899289986647541
50748,essen,full,37,5,1,5.899289986647541
25202,ati,bakso,37,10,2,5.899289986647541
17483,beras ketan putih,ketan hitam,31,6,1,5.893899138012665
57252,powder,salad,11,17,1,5.888537194871279
21768,jelly,susu kedelai,47,4,1,5.883203848895916
4816,jelly,kirm,47,4,1,5.883203848895916
4461,terong,ungu,12,94,6,5.883203848895916
30067,jelly,mutiara,47,4,1,5.883203848895916
28898,biji selasih,lidah buaya,47,4,1,5.883203848895916
12490,olive,shirataki,21,9,1,5.877898796666223
7352,thyme,zaitun,5,76,2,5.872621739565379
62062,kedondong,putar,19,10,1,5.872621739565379
62658,gelatin,whipped,10,19,1,5.872621739565379
13770,jus,stroberi,32,6,1,5.862150439698084
7076,kertas,persegi,16,24,2,5.862150439698084
50268,kulit pastry,pisang raja,12,16,1,5.862150439698084
8818,lobak,salmon,16,12,1,5.862150439698084
32903,estrak,nutella,8,24,1,5.862150439698084
8989,pacar,roti tawar,3,65,1,5.846646253162119
44841,daging giling,impor,65,3,1,5.846646253162119
61697,bake,jamur merang,15,13,1,5.846646253162119
66439,dangmyeon,timun jepang,13,15,1,5.846646253162119
9298,kol merah,kol putih,13,15,1,5.846646253162119
48784,abon sapi,pedas,13,15,1,5.846646253162119
50964,jambu,kedondong,15,13,1,5.846646253162119
50866,lembek,tape singkong,7,28,1,5.841531152495349
19299,delima,instant,7,28,1,5.841531152495349
935,pasta coklat,pasta mocca,49,4,1,5.841531152495349
28894,lidah buaya,sirup,2,98,1,5.841531152495349
3318,kembang tahu,ngohiong,28,14,2,5.841531152495349
7080,persegi,roti,14,14,1,5.841531152495349
10426,kerang,kerang dara,7,28,1,5.841531152495349
60215,essence,kipas,28,7,1,5.841531152495349
31232,meses,milo,28,7,1,5.841531152495349
7997,bunga cengkeh,kayu,14,14,1,5.841531152495349
55405,anggur,sunkist,22,9,1,5.83137878103133
46386,chili,powder,9,22,1,5.83137878103133
7093,essence vanilla,kertas,18,11,1,5.83137878103133
10368,lemon,sprinkles,99,2,1,5.83137878103133
50892,kismis,lembek,66,3,1,5.83137878103133
31778,ikan asin,mengoreng,22,9,1,5.83137878103133
24592,anggur,cocopandan,22,9,1,5.83137878103133
2616,kulit lumpia,pisang uli,33,6,1,5.83137878103133
55390,strawberry,sunkist,22,9,1,5.83137878103133
53561,vanilla,whip,8,25,1,5.821328445177829
29024,misoa,punggung,8,25,1,5.821328445177829
46332,garlic,pepper,20,10,1,5.821328445177829
13681,butter cream,cheese,80,5,2,5.821328445177829
65607,lemon cui,mangga,8,50,2,5.821328445177829
25180,ampela,bakso,40,10,2,5.821328445177829
19689,cake,kue,17,12,1,5.801525817881649
1723,ekstrak,soft cream,51,4,1,5.801525817881649
45001,jengki,teri,5,41,1,5.796635832587457
53787,diiris,tepung kanji,5,41,1,5.796635832587457
50167,pahit,plain,2,103,1,5.791769642936284
53523,cream,diganti,69,3,1,5.786927018460497
8317,konbu,lobak,8,26,1,5.7821077320245475
27978,bunga kecombrang,daun melinjo,16,13,1,5.7821077320245475
8817,lobak,shoyu,16,13,1,5.7821077320245475
11682,keju mozarella,macaroni,70,3,1,5.772538281008397
4864,ma,susu evaporasi,5,42,1,5.772538281008397
18685,biskuit oreo,chocolate,14,15,1,5.772538281008397
64906,sp,tbm,42,5,1,5.772538281008397
46444,diblender,jus,14,15,1,5.772538281008397
66444,dadar,timun jepang,14,15,1,5.772538281008397
8524,risotto,thyme,4,53,1,5.763059537053853
10032,krim,wafer,43,5,1,5.749007783598203
59639,bengkuang,cingur,43,5,1,5.749007783598203
4851,harum,jelly,9,24,1,5.7443674040417
44058,cream of tartar,perisa,24,9,1,5.7443674040417
44143,melintang,sungai,12,18,1,5.7443674040417
50093,forest,rendamannya,8,27,1,5.7443674040417
8368,beef,konbu,18,12,1,5.7443674040417
59588,cingur,petis udang,8,27,1,5.7443674040417
9034,lokal,madu,2,109,1,5.735150748936777
44755,kol putih,pasang,10,22,1,5.726018265373504
7207,hoisin,pokcoy,11,20,1,5.726018265373504
57953,bakau,melintang,11,20,1,5.726018265373504
51290,baby kailan,bawang bombay,4,55,1,5.726018265373504
46334,garlic,powder,20,22,2,5.726018265373504
38555,ge,tau,10,22,1,5.726018265373504
25842,labu kuning,talam,17,13,1,5.721483110208113
67513,alpukat,daun ketumbar,111,2,1,5.716968429853586
19545,brown sugar,essens,74,3,1,5.716968429853586
24541,alpukat,apel,111,2,1,5.716968429853586
